1.0000000e+01,-4.5808152e+08,-2.5867672e+03,-2.8074599e+02,-1.5967754e+07,-3.5297951e+02,-1.7254717e+01,-1.1201014e+06,-3.4948231e+02,-3.8170921e+02,-8.2935689e+06,-5.9078776e+01,-3.3765764e+00,-1.7798129e+07,-2.0053836e+02,-7.3813525e+00,-3.1174313e+08,-1.1323422e+03,-1.4671129e+02
2.0000000e+01,-5.9052398e+07,-5.7089265e+02,-6.0479547e+01,-3.6631277e+06,-7.9837081e+01,-3.7740523e+00,-9.4772725e+05,-1.4770465e+02,-1.6242551e+02,-3.8854924e+06,-2.8526787e+01,-8.6935501e-01,-7.3645217e+06,-8.5795241e+01,-2.6626376e+00,-3.8538140e+07,-2.2669892e+02,-2.9647051e+01
2.5000000e+01, 1.1667419e+08, 2.8241574e+02, 3.7507590e+01, 1.8477055e+06, 4.4944638e+01, 3.9125029e+00,-8.6154017e+05,-4.6815821e+01,-5.2783655e+01,-1.6814542e+06,-1.3250792e+01, 3.8425569e-01,-2.1477182e+06,-2.8423683e+01,-3.0328017e-01, 1.1326945e+08, 2.0852151e+02, 3.1186978e+01
3.0000000e+01, 2.4820364e+08, 1.4156944e+03, 1.5058950e+02, 1.0676953e+07, 2.5308036e+02, 1.6479833e+01,-7.7535309e+05, 1.6916257e+01, 9.2840124e-01, 5.2258401e+05, 2.0252025e+00, 2.2545369e+00, 3.6141930e+06, 2.2455641e+01, 3.1462071e+00, 2.2326752e+08, 1.0149554e+03, 1.2206481e+02
4.0000000e+01, 3.5314274e+08, 2.2745519e+03, 2.5074975e+02, 1.4654066e+07, 3.4992452e+02, 2.5098574e+01,-6.0297894e+05, 1.1709196e+02, 2.8475368e+00, 3.9355967e+06, 2.1003085e+01, 6.7349899e+00, 8.6417131e+06, 5.1537924e+01, 7.6673306e+00, 3.0061587e+08, 1.6161321e+03, 2.0814335e+02
5.0000000e+01, 3.8565399e+08, 2.6665274e+03, 3.2848312e+02, 1.6277109e+07, 3.7532517e+02, 2.9265422e+01,-4.3060478e+05, 1.1906078e+02, 2.9134761e+00, 4.9303881e+06, 2.8602459e+01, 8.0641948e+00, 5.2765650e+07, 4.4184367e+02, 1.0318310e+01, 3.3271366e+08, 1.8184141e+03, 2.7783297e+02
6.0000000e+01, 4.1652267e+08, 2.8880320e+03, 3.6583389e+02, 1.7033385e+07, 4.0410084e+02, 3.3617092e+01,-2.5823063e+05, 1.3029018e+02, 3.4118240e+00, 5.6016883e+06, 3.4016611e+01, 9.1106547e+00, 5.4449334e+07, 4.5019340e+02, 1.3631098e+01, 3.5438997e+08, 1.9829867e+03, 3.0673590e+02
7.0000000e+01, 4.4298912e+08, 3.1227384e+03, 3.9707229e+02, 1.8257985e+07, 4.3061243e+02, 3.4626339e+01,-8.5856476e+04, 1.7450998e+02, 4.0516533e+00, 6.2084639e+06, 3.8680033e+01, 1.0020266e+01, 5.5688100e+07, 4.5874291e+02, 1.6038344e+01, 3.8319866e+08, 2.1729810e+03, 3.3103551e+02
7.5000000e+01, 4.5532751e+08, 3.2946961e+03, 4.1310921e+02, 1.9177028e+07, 4.5284747e+02, 3.5102233e+01, 3.3060155e+02, 1.9279670e+02, 5.1672492e+00, 6.5294817e+06, 4.1165725e+01, 1.0497446e+01, 5.6890813e+07, 4.6633728e+02, 1.6893747e+01, 3.9796875e+08, 2.2362664e+03, 3.4728658e+02
8.0000000e+01, 4.7230037e+08, 3.4044141e+03, 4.2486215e+02, 1.9916353e+07, 4.7013754e+02, 3.6235603e+01, 7.6143941e+04, 2.0144732e+02, 5.8533950e+00, 6.8504996e+06, 4.4534857e+01, 1.0797562e+01, 5.8370848e+07, 4.7661014e+02, 1.7646353e+01, 4.0482864e+08, 2.3185333e+03, 3.5690016e+02
9.0000000e+01, 4.9258553e+08, 3.6410985e+03, 4.4783299e+02, 2.1160152e+07, 4.9249026e+02, 3.8640845e+01, 1.5884830e+05, 2.1658919e+02, 6.5501561e+00, 7.4178900e+06, 5.3889344e+01, 1.1503431e+01, 5.9709204e+07, 4.8656243e+02, 1.8532779e+01, 4.2038362e+08, 2.4785695e+03, 3.7636593e+02
